seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	0.013126115374403446	0.01707793539450475	0.017077935394505084	0.017077935394505084	0.017231319558733915	0.017076245578060756	0.017077935394505084	0.017231319558734137	0.017076245578060978	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	0.008364857050042085	0.013083504885962327	0.013083504885962216	0.013083504885962438	0.013301261191216884	0.013080625489117148	0.013083504885961994	0.013301261191217106	0.013080625489117148	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	0.010020653105783928	0.01914190033731744	0.01914190033731744	0.019141900337317774	0.01936905207422135	0.01914061244864973	0.019141900337317774	0.019369052074221682	0.01914061244864973	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	0.01012341270360162	0.01902548847087504	0.019025488470874596	0.01902548847087615	0.019134681509569873	0.019022966304259592	0.01902548847087626	0.019134681509569873	0.019022966304259592	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	0.008823343120258342	0.014751678628679654	0.014751678628679654	0.01475167862868032	0.014930803068562093	0.014750682013880412	0.014751678628680542	0.014930803068561871	0.01475068201388019	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	0.010100282195124599	0.01070365809264906	0.010703658092648727	0.010703658092648949	0.010816533755536817	0.010702735452680301	0.010703658092648949	0.010816533755536373	0.010702735452680301	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	0.010228447007238683	0.015115457725601966	0.015115457725601966	0.0151154577256023	0.01527823035520981	0.015112572443996442	0.015115457725601966	0.015278230355210143	0.015112572443996442	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	0.013341530013327163	0.020034649254393244	0.020034649254393466	0.02003464925439369	0.020232779143720236	0.02003282197782874	0.020034649254393466	0.020232779143720903	0.02003282197782852	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	0.012370812721021918	0.018029805837016855	0.01802980583701652	0.018029805837016966	0.01816928892208869	0.01802891100387649	0.018029805837016966	0.01816928892208891	0.018028911003876713	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	0.011227335656935233	0.01481788267602413	0.01481788267602413	0.014817882676024352	0.014982417367318535	0.014817462258932657	0.014817882676024019	0.014982417367318757	0.014817462258933323	3	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	1.0	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
