numsteps	FI	F_ctrlq	F_julia	T	ν	Ω	deviceseed
1	0.7921290741678173	0.7921290741678173	0.9745504242550407	10.0	5.0	2	9554663035758824981
2	0.7921290741678173	0.9907444272212227	0.8914327892310147	10.0	5.0	2	9554663035758824981
4	0.7921290741678173	0.9913988802345178	0.8826214225492818	10.0	5.0	2	9554663035758824981
8	0.7921290741678173	0.9909959705052314	0.8172195821563009	10.0	5.0	2	9554663035758824981
16	0.7921290741678173	0.9966506004428899	0.08954597193085323	10.0	5.0	2	9554663035758824981
32	0.7921290741678173	0.9743072894983433	0.004416637587928873	10.0	5.0	2	9554663035758824981
64	0.7921290741678173	0.5376897557180986	0.0002632380718317062	10.0	5.0	2	9554663035758824981
128	0.7921290741678173	0.1692026855351414	1.6330869033853723e-5	10.0	5.0	2	9554663035758824981
256	0.7921290741678173	0.04472653360702439	1.0394013043590888e-6	10.0	5.0	2	9554663035758824981
512	0.7921290741678173	0.011321426619742003	7.416887937150562e-8	10.0	5.0	2	9554663035758824981
1024	0.7921290741678173	0.0028374375595586754	1.0776051717620305e-8	10.0	5.0	2	9554663035758824981
2048	0.7921290741678173	0.0007098290502043358	6.036854016677751e-9	10.0	5.0	2	9554663035758824981
4096	0.7921290741678173	0.000177612033971708	5.546200609884977e-9	10.0	5.0	2	9554663035758824981
8192	0.7921290741678173	4.449103175063751e-5	5.4669183624511675e-9	10.0	5.0	2	9554663035758824981
16384	0.7921290741678173	1.1171040514290631e-5	5.449809825641694e-9	10.0	5.0	2	9554663035758824981
32768	0.7921290741678173	2.819249753982511e-6	5.445701112272161e-9	10.0	5.0	2	9554663035758824981
1	0.11582564677312779	0.11582564677312779	0.11516277805904052	10.0	5.0	0.02	9554663035758824981
2	0.11582564677312779	0.09954626235880426	0.006292567163256435	10.0	5.0	0.02	9554663035758824981
4	0.11582564677312779	0.016860722127768568	0.0002823679247864197	10.0	5.0	0.02	9554663035758824981
8	0.11582564677312779	0.0038845503182793895	1.658624629552463e-5	10.0	5.0	0.02	9554663035758824981
16	0.11582564677312779	0.0009449827281435841	1.0215190793250173e-6	10.0	5.0	0.02	9554663035758824981
32	0.11582564677312779	0.00023349997343402595	6.361377380414979e-8	10.0	5.0	0.02	9554663035758824981
64	0.11582564677312779	5.805758056376398e-5	3.9722513056617e-9	10.0	5.0	0.02	9554663035758824981
128	0.11582564677312779	1.4476163250343177e-5	2.482050120988788e-10	10.0	5.0	0.02	9554663035758824981
256	0.11582564677312779	3.6143470488747553e-6	1.5510703832433137e-11	10.0	5.0	0.02	9554663035758824981
512	0.11582564677312779	9.030042599222909e-7	9.694467451026867e-13	10.0	5.0	0.02	9554663035758824981
1024	0.11582564677312779	2.2567662072425776e-7	6.061817714453355e-14	10.0	5.0	0.02	9554663035758824981
2048	0.11582564677312779	5.6405969450779025e-8	3.9968028886505635e-15	10.0	5.0	0.02	9554663035758824981
4096	0.11582564677312779	1.409186467515866e-8	6.661338147750939e-16	10.0	5.0	0.02	9554663035758824981
8192	0.11582564677312779	3.505910006751378e-9	0.0	10.0	5.0	0.02	9554663035758824981
16384	0.11582564677312779	8.418549191091529e-10	0.0	10.0	5.0	0.02	9554663035758824981
32768	0.11582564677312779	1.4004530868305665e-10	0.0	10.0	5.0	0.02	9554663035758824981
