seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	0.02182980163021153	0.018688014995255298	0.018688014995255298	0.01868801499525552	0.018817731832305284	0.01868846247434064	0.018688014995255298	0.018817731832305284	0.01868846247434064	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	0.014023885104194722	0.011001969244549437	0.011001969244549437	0.011001969244549437	0.011051885387783122	0.011004040995622688	0.011001969244549548	0.011051885387783122	0.011004040995622688	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	0.014347323463349548	0.01616018874012437	0.01616018874012437	0.01616018874012415	0.01630845763713973	0.016163688902794293	0.01616018874012415	0.01630845763713973	0.016163688902794293	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	0.01871476874412692	0.014928447184977767	0.014928447184977767	0.01492844718497821	0.014905229621104854	0.014929879102081767	0.014928447184977989	0.014905229621104854	0.01492987910208221	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	0.014866359685985264	0.014267413622872538	0.014267413622872538	0.014267413622872316	0.014256394971887021	0.01426920057153136	0.014267413622872538	0.014256394971887021	0.014269200571531804	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	0.015270161729233456	0.016503276124670285	0.016503276124670285	0.016503276124670507	0.016538841252294878	0.016504376869741155	0.016503276124670507	0.016538841252294878	0.016504376869741155	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	0.016461548795862146	0.01365740075470745	0.013657400754707671	0.013657400754707671	0.013675268565992105	0.013658957393220428	0.01365740075470745	0.013675268565992216	0.013658957393220428	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	0.01797670651264327	0.013913411200992432	0.01391341120099221	0.01391341120099221	0.013989160693059333	0.013915105073361134	0.01391341120099221	0.013989160693059333	0.013915105073361134	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	0.016577292794278886	0.014726719360594442	0.014726719360593998	0.01472671936059422	0.014727132923938568	0.014728041522610646	0.014726719360594442	0.014727132923938568	0.014728041522610535	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	0.016317179722118103	0.010501845924003606	0.010501845924003606	0.010501845924003606	0.01047581501516337	0.01050304743327235	0.010501845924003606	0.01047581501516337	0.010503047433272128	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
0	2	0.02182980163021153	0.0007221701563414618	0.0007221701563414618	0.0007221701563414618	0.0006931403226579924	0.0007222651412169823	0.0007221701563419058	0.0006931403226579924	0.0007222651412167602	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	2	0.014023885104194722	0.0007246756312661029	0.0007246756312661029	0.0007246756312661029	0.0007075510606836533	0.0007251425150283097	0.0007246756312658809	0.0007075510606836533	0.0007251425150283097	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	2	0.014347323463349548	0.0006236719984334949	0.0006236719984334949	0.0006236719984334949	0.0006487507078278831	0.0006240892760017713	0.0006236719984334949	0.0006487507078283272	0.0006240892760015493	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	2	0.01871476874412692	0.0004890000635501268	0.0004890000635501268	0.0004890000635505709	0.0004988899949930348	0.0004894934243855342	0.0004890000635501268	0.0004988899949928127	0.0004894934243853122	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	2	0.014866359685985264	0.0006704806821714593	0.0006704806821716813	0.0006704806821712372	0.0006677047667507097	0.0006706787340650111	0.0006704806821714593	0.0006677047667509317	0.0006706787340650111	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	2	0.015270161729233456	0.000703051767845464	0.000703051767845464	0.0007030517678450199	0.000732389961215052	0.000703611957437511	0.0007030517678450199	0.000732389961215052	0.000703611957437511	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	2	0.016461548795862146	0.0005678847815615562	0.0005678847815615562	0.0005678847815611121	0.0005655868280977083	0.0005683074357714091	0.0005678847815615562	0.0005655868280979304	0.0005683074357716311	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	2	0.01797670651264327	0.0006779399774948791	0.0006779399774951012	0.0006779399774953232	0.0007028413572885972	0.0006778282458705931	0.0006779399774953232	0.0007028413572883752	0.0006778282458705931	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	2	0.016577292794278886	0.0005997669692054952	0.0005997669692057173	0.0005997669692057173	0.0006341499427289232	0.0005994501649151385	0.0005997669692059393	0.0006341499427287012	0.0005994501649153605	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	2	0.016317179722118103	0.0005173098001446386	0.0005173098001446386	0.0005173098001446386	0.0005465106694332311	0.000517513046952689	0.0005173098001444165	0.0005465106694332311	0.000517513046952911	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
0	4	0.02182980163021153	4.016757028657558e-5	4.016757028657558e-5	4.016757028679763e-5	4.137756750355326e-5	4.024183711226481e-5	4.016757028635354e-5	4.13775675037753e-5	4.024183711182072e-5	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	4	0.014023885104194722	3.3836304481060786e-5	3.383630448083874e-5	3.383630448083874e-5	3.43247720530071e-5	3.389253769081613e-5	3.3836304481060786e-5	3.43247720530071e-5	3.389253769103817e-5	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	4	0.014347323463349548	3.1669960205316094e-5	3.166996020553814e-5	3.1669960205316094e-5	3.144025394175021e-5	3.1720608926422145e-5	3.166996020553814e-5	3.144025394152816e-5	3.1720608926866234e-5	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	4	0.01871476874412692	2.6151382516492738e-5	2.6151382516714783e-5	2.6151382516714783e-5	2.65498854099544e-5	2.6201730602526396e-5	2.6151382516714783e-5	2.65498854099544e-5	2.6201730602526396e-5	5	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
