seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	3.255956529946147e-7	1.6007151691033172e-5	1.600715169036704e-5	1.6007151690589083e-5	1.60153892492243e-5	1.6007138173956825e-5	1.6007151690589083e-5	1.60153892492243e-5	1.6007138173956825e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	8.002338303114698e-8	3.9419472773749575e-6	3.941947277152913e-6	3.9419472773749575e-6	3.9465306723718285e-6	3.941947565255788e-6	3.941947277152913e-6	3.9465306723718285e-6	3.9419475654778324e-6	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	2.9598565343125216e-7	1.4526094037958792e-5	1.4526094038180837e-5	1.4526094038402881e-5	1.452639542409706e-5	1.4526085092114727e-5	1.4526094037958792e-5	1.452639542409706e-5	1.4526085092114727e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	1.23312162592093e-7	6.053371465863933e-6	6.053371465641888e-6	6.053371465419843e-6	6.0541140816106065e-6	6.053370776970546e-6	6.053371465197799e-6	6.0541140816106065e-6	6.053370776970546e-6	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	2.6297038724365507e-7	1.2863320486444785e-5	1.286332048666683e-5	1.2863320486444785e-5	1.2850854354318209e-5	1.2863310263844241e-5	1.2863320486444785e-5	1.2850854354318209e-5	1.2863310264066286e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	2.612770444443413e-7	1.2836828887530238e-5	1.2836828887752283e-5	1.2836828887752283e-5	1.2841362380111576e-5	1.2836821752348904e-5	1.2836828887752283e-5	1.2841362380111576e-5	1.2836821752348904e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	5.045303907991183e-8	2.473852114270869e-6	2.4738521140488245e-6	2.473852114270869e-6	2.47338470016345e-6	2.4738533077606206e-6	2.4738521136047353e-6	2.47338470016345e-6	2.4738533077606206e-6	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	2.71846128385711e-7	1.337610307428072e-5	1.3376103074058676e-5	1.3376103073836632e-5	1.338680041429452e-5	1.3376093511596743e-5	1.3376103073836632e-5	1.3386800414072475e-5	1.3376093511152654e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	2.8040213473357056e-7	1.3721139960232165e-5	1.372113996001012e-5	1.3721139960232165e-5	1.3709319152788169e-5	1.3721127472998695e-5	1.372113996001012e-5	1.3709319152788169e-5	1.3721127472998695e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	2.911851497700013e-7	1.4302045338476788e-5	1.4302045338476788e-5	1.4302045338476788e-5	1.4305809626691257e-5	1.4302036474456159e-5	1.4302045338476788e-5	1.4305809626691257e-5	1.4302036474456159e-5	1	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
