seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	7.876662412309443e-7	3.696193128088776e-5	3.696193128088776e-5	3.6961931281109806e-5	3.696269888286974e-5	3.6961910752864036e-5	3.696193128088776e-5	3.696269888286974e-5	3.696191075308608e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	6.820572585608531e-7	3.0082321804236756e-5	3.0082321804236756e-5	3.0082321804680845e-5	3.0078101215358366e-5	3.0082311729962008e-5	3.0082321804236756e-5	3.0078101215358366e-5	3.0082311730406097e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	5.921308251499724e-7	6.349239448288913e-5	6.349239448266708e-5	6.349239448266708e-5	6.349062216670642e-5	6.349240173897375e-5	6.349239448266708e-5	6.349062216670642e-5	6.349240173919579e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	8.887951790104154e-7	6.908727218479793e-5	6.908727218479793e-5	6.908727218457589e-5	6.910350397382192e-5	6.908730077070935e-5	6.908727218479793e-5	6.910350397382192e-5	6.908730077070935e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	2.7661385104682523e-7	6.982993788939851e-5	6.982993788939851e-5	6.982993788939851e-5	6.984491164074846e-5	6.982996230320282e-5	6.982993788962055e-5	6.984491164119255e-5	6.982996230320282e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	7.162598067989023e-7	7.04161152066396e-5	7.041611520686164e-5	7.04161152066396e-5	7.043062198186512e-5	7.041614383040962e-5	7.04161152066396e-5	7.043062198208716e-5	7.041614383040962e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	6.181594841558891e-7	2.9589428484078084e-5	2.9589428484078084e-5	2.9589428483633995e-5	2.9582986415532808e-5	2.9589424421549992e-5	2.958942848385604e-5	2.9582986415310764e-5	2.9589424421772037e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	7.557307200034558e-7	3.444898030424692e-5	3.444898030402488e-5	3.444898030402488e-5	3.4443836642417125e-5	3.444896016435717e-5	3.444898030402488e-5	3.444383664263917e-5	3.444896016435717e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	4.5598605036278883e-7	3.760612053127499e-5	3.760612053127499e-5	3.7606120531052945e-5	3.76106823994915e-5	3.760614287107167e-5	3.760612053127499e-5	3.761068239926946e-5	3.760614287107167e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	9.602865900237845e-7	5.4092689401374905e-5	5.409268940159695e-5	5.4092689401374905e-5	5.40796653505371e-5	5.4092701815333655e-5	5.4092689401374905e-5	5.40796653505371e-5	5.4092701815333655e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
0	2	7.876662412309443e-7	4.894370806829418e-5	4.894370806829418e-5	4.894370806829418e-5	4.894470883176627e-5	4.894368164531926e-5	4.894370806851622e-5	4.894470883176627e-5	4.8943681644653125e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	2	6.820572585608531e-7	3.95338216117036e-5	3.953382161125951e-5	3.9533821611481557e-5	3.953064468398271e-5	3.953380380306015e-5	3.9533821611925646e-5	3.95306446844268e-5	3.9533803803726286e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	2	5.921308251499724e-7	8.464309452205221e-5	8.464309452160812e-5	8.464309452160812e-5	8.464182657008656e-5	8.46430823666644e-5	8.464309452183016e-5	8.464182657030861e-5	8.464308236644236e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	2	8.887951790104154e-7	9.04619828090425e-5	9.04619828090425e-5	9.046198280948659e-5	9.047680860929663e-5	9.046197918671783e-5	9.04619828090425e-5	9.047680860929663e-5	9.046197918716192e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	2	2.7661385104682523e-7	9.286131147812071e-5	9.286131147812071e-5	9.286131147834276e-5	9.287519505041253e-5	9.286130974406337e-5	9.286131147789867e-5	9.287519505041253e-5	9.286130974384132e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	2	7.162598067989023e-7	9.356746542121819e-5	9.356746542121819e-5	9.35674654207741e-5	9.358081953825259e-5	9.356746594513243e-5	9.356746542099614e-5	9.358081953847464e-5	9.356746594468834e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	2	6.181594841558891e-7	3.883997819387197e-5	3.8839978194094016e-5	3.8839978194538105e-5	3.8834723367298096e-5	3.883996482423324e-5	3.8839978194538105e-5	3.883472336752014e-5	3.883996482423324e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	2	7.557307200034558e-7	4.568650396197249e-5	4.568650396197249e-5	4.568650396197249e-5	4.568232612911505e-5	4.568647872493781e-5	4.5686503961750446e-5	4.5682326128893e-5	4.568647872493781e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	2	4.5598605036278883e-7	5.0377710130389275e-5	5.037771013016723e-5	5.0377710130389275e-5	5.0382110376334666e-5	5.0377717503602426e-5	5.0377710129945186e-5	5.0382110376334666e-5	5.037771750338038e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	2	9.602865900237845e-7	7.197107897216615e-5	7.197107897238819e-5	7.197107897238819e-5	7.195950795957362e-5	7.19710725188838e-5	7.197107897238819e-5	7.195950795979567e-5	7.19710725188838e-5	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
0	4	7.876662412309443e-7	6.817843755113628e-7	6.817843752893182e-7	6.817843757334074e-7	6.819023740112229e-7	6.817838076322857e-7	6.817843752893182e-7	6.819023740112229e-7	6.817838074102411e-7	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	4	6.820572585608531e-7	5.421702518049187e-7	5.421702515828741e-7	5.421702520269633e-7	5.424842585144418e-7	5.421704256658444e-7	5.421702515828741e-7	5.424842580703526e-7	5.421704254437998e-7	1	3	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
