seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	0.000885318473137775	0.008826971527279626	0.008826971527279848	0.00882697152728007	0.008908013779919899	0.008827561497907976	0.008826971527279848	0.008908013779920232	0.008827561497907976	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	0.0009875739323766952	0.010107022246348962	0.010107022246348962	0.010107022246348962	0.010102709480802163	0.01010806751616622	0.010107022246349406	0.010102709480802163	0.01010806751616622	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	0.0004914203498788128	0.005169966254279457	0.005169966254279901	0.005169966254279679	0.005198420992660435	0.005169101844046509	0.005169966254279457	0.005198420992660324	0.005169101844046509	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	0.0009702387795416101	0.010009378585046469	0.010009378585046247	0.010009378585046247	0.01005740066458416	0.010009828060136172	0.010009378585046247	0.010057400664583716	0.010009828060136172	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	0.0006087619556869317	0.006489339774430891	0.006489339774430669	0.006489339774430891	0.006570885273280758	0.0064893665079858165	0.006489339774431113	0.006570885273280536	0.0064893665079855944	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	0.00030809019875344124	0.003285060765468084	0.003285060765468084	0.003285060765467418	0.0033417553703977143	0.003284908017578081	0.003285060765467862	0.0033417553703972702	0.003284908017577859	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	0.0007970248184989703	0.008364660638290666	0.008364660638290666	0.008364660638290666	0.008368052471757315	0.008364452805694755	0.008364660638290666	0.008368052471757537	0.008364452805694755	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	0.0006889682729246394	0.006795307808378781	0.006795307808378781	0.006795307808378781	0.006906073603019203	0.006795296220965641	0.006795307808378559	0.006906073603019203	0.006795296220966196	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	0.0009398337249307831	0.00996862082323613	0.009968620823236352	0.009968620823236352	0.009967010247471486	0.009969803029771462	0.009968620823235907	0.009967010247471486	0.009969803029771462	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	0.0006506039139004827	0.006655044381186248	0.00665504438118647	0.006655044381186248	0.006763906312752921	0.0066550753158647336	0.00665504438118647	0.006763906312752921	0.0066550753158647336	2	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
