seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω	δ
4	64	0.0002014565637967758	1.4210854715202004e-14	5.329811814114294e-9	5.329811592069689e-9	5.329811814114294e-9	5.324288676611388e-9	5.329726548986002e-9	10.0	6.0	0.02	4.4	0.3
5	64	0.0004457089070096787	1.2656542480726785e-13	1.21856312818025e-8	1.21856312818025e-8	1.21856312818025e-8	1.2162309381835712e-8	1.2185694342470299e-8	10.0	6.0	0.02	4.4	0.3
6	64	0.0003922687834285732	9.64783808399261e-14	1.0639843894821865e-8	1.063984411686647e-8	1.0639843894821865e-8	1.0650965109881838e-8	1.0639780390064857e-8	10.0	6.0	0.02	4.4	0.3
7	64	0.0003910209346448257	3.3639757646142243e-14	1.101069413422806e-8	1.1010693912183456e-8	1.101069413422806e-8	1.099768753842767e-8	1.1010740874617397e-8	10.0	6.0	0.02	4.4	0.3
8	64	0.0003071428568209855	3.7414515929867775e-14	7.45142469948945e-9	7.45142425540024e-9	7.45142469948945e-9	7.457945039313074e-9	7.451273487113497e-9	10.0	6.0	0.02	4.4	0.3
9	64	0.0005636065787162359	5.562217353372034e-14	1.529749926731938e-8	1.529749926731938e-8	1.529749926731938e-8	1.529760784713119e-8	1.5297473843212117e-8	10.0	6.0	0.02	4.4	0.3
0	128	0.00033652848727161455	1.0547118733938987e-14	5.995067775543816e-10	5.995065555097767e-10	5.995063334651718e-10	5.999629681952001e-10	5.995119956025974e-10	10.0	6.0	0.02	4.4	0.3
1	128	0.00038941783168799926	7.693845560652335e-14	6.686365905395064e-10	6.686365905395064e-10	6.686365905395064e-10	6.683574804711157e-10	6.686367015618089e-10	10.0	6.0	0.02	4.4	0.3
2	128	0.00043211898319706066	6.705747068735946e-14	7.461697926203215e-10	7.461697926203215e-10	7.461695705757165e-10	7.470956076005564e-10	7.461760098692594e-10	10.0	6.0	0.02	4.4	0.3
3	128	3.799898530021384e-5	1.0658141036401503e-14	7.699862969445803e-11	7.699885173906296e-11	7.699885173906296e-11	7.720779571229741e-11	7.700085014050728e-11	10.0	6.0	0.02	4.4	0.3
4	128	0.0002014565637967758	1.4210854715202004e-14	3.325997255387847e-10	3.325999475833896e-10	3.3259950349417977e-10	3.327021991239576e-10	3.32598837360365e-10	10.0	6.0	0.02	4.4	0.3
5	128	0.0004457089070096787	1.2656542480726785e-13	7.603995211269421e-10	7.603995211269421e-10	7.603995211269421e-10	7.611447028210705e-10	7.604044061082504e-10	10.0	6.0	0.02	4.4	0.3
6	128	0.0003922687834285732	9.64783808399261e-14	6.639622185389271e-10	6.639619964943222e-10	6.639617744497173e-10	6.635668681198581e-10	6.639596650259705e-10	10.0	6.0	0.02	4.4	0.3
7	128	0.0003910209346448257	3.3639757646142243e-14	6.870846114281903e-10	6.870846114281903e-10	6.870846114281903e-10	6.875082725343873e-10	6.870889412979864e-10	10.0	6.0	0.02	4.4	0.3
8	128	0.0003071428568209855	3.7414515929867775e-14	4.65022242934765e-10	4.650220208901601e-10	4.65022242934765e-10	4.647611184793732e-10	4.650151375074074e-10	10.0	6.0	0.02	4.4	0.3
9	128	0.0005636065787162359	5.562217353372034e-14	9.546075041555468e-10	9.546075041555468e-10	9.54607060066337e-10	9.545906287655725e-10	9.546065049548247e-10	10.0	6.0	0.02	4.4	0.3
0	256	0.00033652848727161455	1.0547118733938987e-14	3.745403986954443e-11	3.7454261914149356e-11	3.7454261914149356e-11	3.764055733768146e-11	3.745437293645182e-11	10.0	6.0	0.02	4.4	0.3
1	256	0.00038941783168799926	7.693845560652335e-14	4.177314050224368e-11	4.17733625468486e-11	4.17733625468486e-11	4.168232425882934e-11	4.1773473569151065e-11	10.0	6.0	0.02	4.4	0.3
2	256	0.00043211898319706066	6.705747068735946e-14	4.6617043558683235e-11	4.661682151407831e-11	4.6617043558683235e-11	4.6992632007913926e-11	4.661726560328816e-11	10.0	6.0	0.02	4.4	0.3
3	256	3.799898530021384e-5	1.0658141036401503e-14	4.810596365700803e-12	4.810374321095878e-12	4.810152276490953e-12	4.900746475300366e-12	4.810374321095878e-12	10.0	6.0	0.02	4.4	0.3
4	256	0.0002014565637967758	1.4210854715202004e-14	2.077937821809428e-11	2.0779156173489355e-11	2.077937821809428e-11	2.0851098625485065e-11	2.0779600262699205e-11	10.0	6.0	0.02	4.4	0.3
5	256	0.0004457089070096787	1.2656542480726785e-13	4.7506221179105523e-11	4.7506221179105523e-11	4.75059991345006e-11	4.7808201841803566e-11	4.7506332201407986e-11	10.0	6.0	0.02	4.4	0.3
6	256	0.0003922687834285732	9.64783808399261e-14	4.1481262869069724e-11	4.1481706958279574e-11	4.14810408244648e-11	4.134559361546053e-11	4.1481373891372186e-11	10.0	6.0	0.02	4.4	0.3
7	256	0.0003910209346448257	3.3639757646142243e-14	4.292544097950213e-11	4.292566302410705e-11	4.292588506871198e-11	4.3103631774954465e-11	4.292588506871198e-11	10.0	6.0	0.02	4.4	0.3
8	256	0.0003071428568209855	3.7414515929867775e-14	2.905298224220587e-11	2.905253815299602e-11	2.905298224220587e-11	2.897393436285256e-11	2.9052316108391096e-11	10.0	6.0	0.02	4.4	0.3
9	256	0.0005636065787162359	5.562217353372034e-14	5.963951554832647e-11	5.963995963753632e-11	5.963995963753632e-11	5.963851634760431e-11	5.963984861523386e-11	10.0	6.0	0.02	4.4	0.3
0	512	0.00033652848727161455	1.0547118733938987e-14	2.3402391136073675e-12	2.3404611582122925e-12	2.3404611582122925e-12	2.37476704967321e-12	2.3404611582122925e-12	10.0	6.0	0.02	4.4	0.3
1	512	0.00038941783168799926	7.693845560652335e-14	2.610134330893743e-12	2.610578420103593e-12	2.610578420103593e-12	2.5981439222277913e-12	2.610578420103593e-12	10.0	6.0	0.02	4.4	0.3
2	512	0.00043211898319706066	6.705747068735946e-14	2.9130031720114857e-12	2.9130031720114857e-12	2.9134472612213358e-12	2.977840196649595e-12	2.9130031720114857e-12	10.0	6.0	0.02	4.4	0.3
3	512	3.799898530021384e-5	1.0658141036401503e-14	3.0031532816110484e-13	3.005373727660299e-13	3.000932835561798e-13	3.1652458432063213e-13	3.0020430585864233e-13	10.0	6.0	0.02	4.4	0.3
4	512	0.0002014565637967758	1.4210854715202004e-14	1.2986278719040456e-12	1.2986278719040456e-12	1.2981837826941955e-12	1.3141709942487978e-12	1.2986278719040456e-12	10.0	6.0	0.02	4.4	0.3
5	512	0.0004457089070096787	1.2656542480726785e-13	2.968403300940281e-12	2.969069434755056e-12	2.968625345545206e-12	3.0210278723075135e-12	2.9685143232427436e-12	10.0	6.0	0.02	4.4	0.3
6	512	0.0003922687834285732	9.64783808399261e-14	2.591815650987428e-12	2.591815650987428e-12	2.592037695592353e-12	2.5719426588466376e-12	2.5919266732898905e-12	10.0	6.0	0.02	4.4	0.3
7	512	0.0003910209346448257	3.3639757646142243e-14	2.6826318944017657e-12	2.6826318944017657e-12	2.6826318944017657e-12	2.7148283621158953e-12	2.6824098497968407e-12	10.0	6.0	0.02	4.4	0.3
8	512	0.0003071428568209855	3.7414515929867775e-14	1.815658734471981e-12	1.815436689867056e-12	1.815658734471981e-12	1.8057777495528171e-12	1.815436689867056e-12	10.0	6.0	0.02	4.4	0.3
9	512	0.0005636065787162359	5.562217353372034e-14	3.726907671364188e-12	3.727129715969113e-12	3.727129715969113e-12	3.727129715969113e-12	3.727129715969113e-12	10.0	6.0	0.02	4.4	0.3
0	1024	0.00033652848727161455	1.0547118733938987e-14	1.4599432773820809e-13	1.4599432773820809e-13	1.4599432773820809e-13	1.5165646516379638e-13	1.4599432773820809e-13	10.0	6.0	0.02	4.4	0.3
1	1024	0.00038941783168799926	7.693845560652335e-14	1.630917623174355e-13	1.630917623174355e-13	1.630917623174355e-13	1.6231460620019789e-13	1.630917623174355e-13	10.0	6.0	0.02	4.4	0.3
2	1024	0.00043211898319706066	6.705747068735946e-14	1.8207657603852567e-13	1.8207657603852567e-13	1.8207657603852567e-13	1.9195756095768957e-13	1.8207657603852567e-13	10.0	6.0	0.02	4.4	0.3
3	1024	3.799898530021384e-5	1.0658141036401503e-14	1.84297022087776e-14	1.8207657603852567e-14	1.865174681370263e-14	2.0761170560490427e-14	1.865174681370263e-14	10.0	6.0	0.02	4.4	0.3
4	1024	0.0002014565637967758	1.4210854715202004e-14	8.149037000748649e-14	8.104628079763643e-14	8.104628079763643e-14	8.393286066166183e-14	8.126832540256146e-14	10.0	6.0	0.02	4.4	0.3
5	1024	0.0004457089070096787	1.2656542480726785e-13	1.8529622280993863e-13	1.8529622280993863e-13	1.8529622280993863e-13	1.9340085088970227e-13	1.8529622280993863e-13	10.0	6.0	0.02	4.4	0.3
6	1024	0.0003922687834285732	9.64783808399261e-14	1.616484723854228e-13	1.6209256159527285e-13	1.616484723854228e-13	1.5942802633617248e-13	1.6142642778049776e-13	10.0	6.0	0.02	4.4	0.3
7	1024	0.0003910209346448257	3.3639757646142243e-14	1.6764367671839864e-13	1.6719958750854857e-13	1.6764367671839864e-13	1.730837695390619e-13	1.674216321134736e-13	10.0	6.0	0.02	4.4	0.3
8	1024	0.0003071428568209855	3.7414515929867775e-14	1.1335377081422848e-13	1.1335377081422848e-13	1.1335377081422848e-13	1.1290968160437842e-13	1.1357581541915351e-13	10.0	6.0	0.02	4.4	0.3
9	1024	0.0005636065787162359	5.562217353372034e-14	2.3281376826389533e-13	2.3281376826389533e-13	2.3303581286882036e-13	2.333688797762079e-13	2.3303581286882036e-13	10.0	6.0	0.02	4.4	0.3
0	2048	0.00033652848727161455	1.0547118733938987e-14	8.659739592076221e-15	8.881784197001252e-15	8.881784197001252e-15	9.547918011776346e-15	9.103828801926284e-15	10.0	6.0	0.02	4.4	0.3
1	2048	0.00038941783168799926	7.693845560652335e-14	1.021405182655144e-14	9.992007221626409e-15	1.021405182655144e-14	1.0103029524088925e-14	9.992007221626409e-15	10.0	6.0	0.02	4.4	0.3
2	2048	0.00043211898319706066	6.705747068735946e-14	1.099120794378905e-14	1.1213252548714081e-14	1.099120794378905e-14	1.27675647831893e-14	1.099120794378905e-14	10.0	6.0	0.02	4.4	0.3
3	2048	3.799898530021384e-5	1.0658141036401503e-14	1.2212453270876722e-15	9.992007221626409e-16	9.992007221626409e-16	1.5543122344752192e-15	1.2212453270876722e-15	10.0	6.0	0.02	4.4	0.3
4	2048	0.0002014565637967758	1.4210854715202004e-14	5.218048215738236e-15	4.9960036108132044e-15	4.773959005888173e-15	5.662137425588298e-15	4.9960036108132044e-15	10.0	6.0	0.02	4.4	0.3
5	2048	0.0004457089070096787	1.2656542480726785e-13	1.1657341758564144e-14	1.1657341758564144e-14	1.1213252548714081e-14	1.27675647831893e-14	1.1657341758564144e-14	10.0	6.0	0.02	4.4	0.3
6	2048	0.0003922687834285732	9.64783808399261e-14	9.658940314238862e-15	1.0103029524088925e-14	9.880984919163893e-15	9.547918011776346e-15	9.880984919163893e-15	10.0	6.0	0.02	4.4	0.3
7	2048	0.0003910209346448257	3.3639757646142243e-14	1.0547118733938987e-14	1.0103029524088925e-14	1.0547118733938987e-14	1.1102230246251565e-14	1.0103029524088925e-14	10.0	6.0	0.02	4.4	0.3
8	2048	0.0003071428568209855	3.7414515929867775e-14	7.105427357601002e-15	6.439293542825908e-15	7.105427357601002e-15	7.105427357601002e-15	7.327471962526033e-15	10.0	6.0	0.02	4.4	0.3
9	2048	0.0005636065787162359	5.562217353372034e-14	1.432187701766452e-14	1.4765966227514582e-14	1.432187701766452e-14	1.4765966227514582e-14	1.432187701766452e-14	10.0	6.0	0.02	4.4	0.3
0	4096	0.00033652848727161455	1.0547118733938987e-14	4.440892098500626e-16	4.440892098500626e-16	4.440892098500626e-16	2.220446049250313e-16	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
1	4096	0.00038941783168799926	7.693845560652335e-14	6.661338147750939e-16	2.220446049250313e-16	4.440892098500626e-16	4.440892098500626e-16	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
2	4096	0.00043211898319706066	6.705747068735946e-14	9.992007221626409e-16	3.3306690738754696e-16	7.771561172376096e-16	7.771561172376096e-16	5.551115123125783e-16	10.0	6.0	0.02	4.4	0.3
3	4096	3.799898530021384e-5	1.0658141036401503e-14	0.0	0.0	0.0	1.1102230246251565e-16	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
4	4096	0.0002014565637967758	1.4210854715202004e-14	0.0	4.440892098500626e-16	4.440892098500626e-16	3.3306690738754696e-16	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
5	4096	0.0004457089070096787	1.2656542480726785e-13	6.661338147750939e-16	8.881784197001252e-16	4.440892098500626e-16	8.881784197001252e-16	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
6	4096	0.0003922687834285732	9.64783808399261e-14	3.3306690738754696e-16	1.1102230246251565e-16	1.1102230246251565e-16	2.220446049250313e-16	1.1102230246251565e-16	10.0	6.0	0.02	4.4	0.3
7	4096	0.0003910209346448257	3.3639757646142243e-14	2.220446049250313e-16	4.440892098500626e-16	6.661338147750939e-16	8.881784197001252e-16	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
8	4096	0.0003071428568209855	3.7414515929867775e-14	3.3306690738754696e-16	3.3306690738754696e-16	1.1102230246251565e-16	3.3306690738754696e-16	3.3306690738754696e-16	10.0	6.0	0.02	4.4	0.3
9	4096	0.0005636065787162359	5.562217353372034e-14	7.771561172376096e-16	1.2212453270876722e-15	9.992007221626409e-16	9.992007221626409e-16	9.992007221626409e-16	10.0	6.0	0.02	4.4	0.3
0	8192	0.00033652848727161455	1.0547118733938987e-14	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
1	8192	0.00038941783168799926	7.693845560652335e-14	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
2	8192	0.00043211898319706066	6.705747068735946e-14	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
3	8192	3.799898530021384e-5	1.0658141036401503e-14	-4.440892098500626e-16	0.0	2.220446049250313e-16	0.0	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
4	8192	0.0002014565637967758	1.4210854715202004e-14	2.220446049250313e-16	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
5	8192	0.0004457089070096787	1.2656542480726785e-13	2.220446049250313e-16	2.220446049250313e-16	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
6	8192	0.0003922687834285732	9.64783808399261e-14	-4.440892098500626e-16	-4.440892098500626e-16	-4.440892098500626e-16	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
