seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	0.0009000564563718116	0.01229539842050964	0.01229539842050964	0.01229539842050964	0.012311690469038461	0.012295246099850443	0.01229539842050964	0.012311690469038239	0.012295246099850665	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	0.0009170112786260898	0.015992665465635714	0.015992665465635714	0.01599266546563549	0.016001926835648272	0.015993581815683888	0.015992665465635936	0.01600192683564805	0.015993581815683888	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	0.0009280714291799441	0.01776080982965733	0.01776080982965733	0.01776080982965733	0.01791041021922113	0.01776265661126253	0.01776080982965733	0.017910410219221573	0.01776265661126253	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	0.0009562708590531432	0.019046962711300686	0.019046962711300686	0.019046962711300464	0.01914369750502576	0.019049718400526272	0.019046962711300464	0.019143697505025536	0.019049718400526716	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	0.0010851645244409625	0.011204248216347135	0.01120424821634769	0.011204248216347246	0.011284438819117337	0.0112049598828029	0.011204248216347357	0.011284438819117337	0.0112049598828029	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	0.0011644523359882752	0.011646117363165676	0.011646117363165454	0.011646117363165454	0.011583140293304317	0.011647674883250692	0.01164611736316623	0.011583140293304539	0.011647674883250136	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	0.0010054697576273863	0.015437677431142105	0.015437677431142105	0.015437677431141883	0.01547342427614995	0.015438651674663961	0.015437677431141883	0.015473424276149839	0.015438651674664183	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	0.0005577443706346052	0.00903525922964521	0.009035259229645654	0.009035259229645654	0.00909427578618216	0.009034465285140625	0.009035259229645431	0.00909427578618216	0.009034465285141069	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	0.0016572482292557256	0.010404151006456641	0.010404151006457085	0.010404151006456863	0.010360881676214961	0.010406886933594928	0.010404151006456641	0.01036088167621485	0.010406886933595372	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	0.0011288330839773764	0.012835008767553169	0.012835008767552947	0.012835008767552725	0.012896336984242196	0.012836720334597818	0.012835008767552725	0.012896336984242196	0.012836720334597596	3	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
